benchmark_id,sequence_id,step,seed,random_patterns,candidate_count,inserted_count,candidate_id,net,type,insertion_sequence,source_bench_sha256,inserted_bench_sha256,total_faults,detected_faults,test_coverage,fault_coverage,pattern_count,effective_pattern_count,baseline_test_coverage,baseline_fault_coverage,baseline_pattern_count,baseline_effective_pattern_count,delta_test_coverage,delta_fault_coverage,delta_pattern_count,delta_effective_pattern_count,fault_list_path,fault_csv_path,hard_fault_summary_path,hard_fault_count,undetected_fault_count,fault_status_counts,work_dir,status,error,source_plan_csv,pred_score,pred_fc,pred_pattern,elapsed_sec,source_sequence_id,source_label_csv
subckt_0012,structural:subckt_0012:01,1,2026,100000,628,1,-1,new_n4267_,CP1,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}]",914e979c3a1d3a49f22fb54d97d84d10f9374f62194fc44699c0fe97df1cf3f3,9e2709092ef2d66df581b758afa7661c54f50a5fbb96b811462181e4874a6b50,484,448,0.92562,0.92562,100000,71,0.92562,0.92562,100000,71,0.0,0.0,0,0,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0001/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0001/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0001/hard_fault_summary.json,36,36,"{""undetected"": 36}",autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0001,ok,,,,,,0.503303050994873,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,2,2026,100000,628,2,-1,new_n3109_,OP,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0002,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0002/atalanta_bist_logs,,,,,0.16890454292297363,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,3,2026,100000,628,3,-1,new_n1114_,CP0,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0003,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0003/atalanta_bist_logs,,,,,0.3582625389099121,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,4,2026,100000,628,4,-1,new_n1115_,CP1,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0004,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0004/atalanta_bist_logs,,,,,0.2649683952331543,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,5,2026,100000,628,5,-1,new_n3144_,OP,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3144_"", ""score"": null, ""type"": ""OP""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0005,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0005/atalanta_bist_logs,,,,,0.3486454486846924,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,6,2026,100000,628,6,-1,__buf_split_2010,CP1,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3144_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2010"", ""score"": null, ""type"": ""CP1""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0006,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0006/atalanta_bist_logs,,,,,0.338895320892334,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,7,2026,100000,628,7,-1,__buf_split_605,CP0,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3144_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2010"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""__buf_split_605"", ""score"": null, ""type"": ""CP0""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0007,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0007/atalanta_bist_logs,,,,,0.13905048370361328,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,8,2026,100000,628,8,-1,new_n3130_,OP,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3144_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2010"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""__buf_split_605"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n3130_"", ""score"": null, ""type"": ""OP""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0008,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0008/atalanta_bist_logs,,,,,0.12692999839782715,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,9,2026,100000,628,9,-1,__buf_split_2066,OP,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3144_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2010"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""__buf_split_605"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n3130_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2066"", ""score"": null, ""type"": ""OP""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0009,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0009/atalanta_bist_logs,,,,,0.13032817840576172,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
subckt_0012,structural:subckt_0012:01,10,2026,100000,628,10,-1,new_n3145_,OP,"[{""candidate_id"": -1, ""net"": ""new_n4267_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3109_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n1114_"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n1115_"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""new_n3144_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2010"", ""score"": null, ""type"": ""CP1""}, {""candidate_id"": -1, ""net"": ""__buf_split_605"", ""score"": null, ""type"": ""CP0""}, {""candidate_id"": -1, ""net"": ""new_n3130_"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""__buf_split_2066"", ""score"": null, ""type"": ""OP""}, {""candidate_id"": -1, ""net"": ""new_n3145_"", ""score"": null, ""type"": ""OP""}]",,,,,,,,,0.92562,0.92562,100000,71,,,,,,,,,,,autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0010,error,Atalanta_BIST reported a fatal error. Logs: /data4/pengqingsong/DFT/TPI-my.3/autoresearch/loop-260720-0945/model_training_round3/long_real_labels/sequences/subckt_0012/structural_subckt_0012_01/step_0010/atalanta_bist_logs,,,,,0.3928711414337158,structural:subckt_0012:01,autoresearch/loop-260718-0223/structural_rollout64/labels.csv
